x,Curve1
0.2425,5.0089
0.3172,5.0089
0.5613,5.4243
0.8054,5.638
1.2633,5.6855
1.6806,5.6855
2.0571,5.7211
2.5284,6.2671
3.1319,7.1454
3.9184,8.5223
6.1764,12.1009
6.2035,11.9525
7.3801,13.5905
8.7228,15.2107
8.8109,15.3887
11.2353,18.3917
12.3711,19.8872
