x,Curve1
0.6768,4.6469
0.7142,4.6647
0.8395,5.0386
0.8497,5.0564
0.887,5.1395
0.9447,5.1632
1.2668,5.543
1.277,5.365
1.7043,5.5964
1.7213,5.5134
1.8434,5.6795
2.5726,6.0119
2.7014,6.2018
2.8947,6.5579
3.0438,6.8427
3.4099,7.6795
3.5083,7.6142
3.5117,7.5668
