x,Curve1
2646.34,-0.007
2873.34,3.627
3312.36,14.697
3502.96,21.818
3701.41,24.66
3999.08,28.925
4220.38,32.558
4483.79,36.982
4792.17,72.298
5080.56,114.585
5403.94,175.09
5551.7,209.621
5755.86,256.348
5996.43,324.145
