x,Curve1
3217.98,-3.15
3338.9,2.69
3696.91,19.74
4131.29,37.77
4618.19,68.94
5066.91,111.78
5592.03,183.34
5848.23,228.12
6211.07,311.84
6422.73,373.16
6616.9,440.32
6793.57,513.81
6954.33,591.19
7159.67,706.53
7353.9,847.66
7466.93,932.33
7597.5,1053.51
7646.86,1104.12
